name,version,hash-sum
ДПУ-М,1,ab025eae4c300876f39be86ae03c1d51
АМН,2,e5a6688b3270328e37bc280a5ea313f8
"КПУ-1Н, канальный, прямоугольный",1,841acf9013a692a87f590b360f37a937
"КПУ-1Н, стеновой",1,8f521200e342061ad3f1136ca14d7693
"КПУ-1Н, канальный, круглый",1,df345f0829a77741e6787f28e60004ba
"КПУ-1Н, ниппельный",1,196f80b500eb91830424ce5ce612397f
"КПУ-2Н, канальный, дымовой",1,cda7b627bcf44ae1916f6b98eadc5243
"КПУ-2Н, канальный, нормально открытый",1,bfe39e4bc63bee02208e11e8da3128df
"КПУ-2Н, канальный, нормально закрытый",1,a350f25b01d5d3a1f12131ea65a1bd8a
"КПУ-2Н, ниппельный, дымовой",1,7cb3186ba06a817bcf50a61721f19991
"КПУ-2Н, ниппельный, нормально открытый",1,1753277370d4ac6947b80252811a8927
"КПУ-2Н, ниппельный, нормально закрытый",1,5b97739120375bd47c3ae50d3950e58d
"КПУ-2Н-ВД, канальный, нормально открытый",1,dbf81601cf5c17223bea2860580b3418
"КПУ-2Н-ВД, канальный, нормально закрытый",1,280c6fce5b59c62e1dfd48172a2b4057
"КПУ-ДД, канальный",1,259733e60ec8e6e72a275070cbc9d2ec
"КПУ-ДД, стеновой",1,5507803f8ae0598ada316d8697e4aa50
"КПУ-ДД, канальный",1,a77830bb9c6e9a8bff63db52208d4a50
"КПУ-ДД, ниппельный",1,e25572a78753ed063699bfbf23a50cb1
"ОКСИД, канальный",1,1e8da8202a20a093c6023b35caa96241
"ОКСИД, стеновой",1,559871551bc4f18ca67c9d80f16ccf23
"ОКСИД, канальный, кассетный",1,db6315cfe675bf5f568474737033e259
"ПРОК, круглый",1,e91c7ecb51762ce3915ead00b1f99628
"ПРОК, прямоугольный",1,535809c2c21e05b32333aae16d638962
ГТК,1,c5d3cd77d93e61c742a234f11d1b8d3e
ГТК,1,fde8437cc6c76c0761f36351db855dd2
ГТП,1,5ec0c1da4d151b773f5f61255bd73458
"Р, круглая",1,e12d5ce3fea23e9d2676297a116d8bd7
"Р, прямоугольная",1,74000cfae7eee018bfc735f940bf47eb
KVK,1,608842b69dfb225e63ec2450e78ab67a
KV,1,f1d5f166f9b043a855be5e41c9e36ccd
KVU-P,1,26f9097501e6dd15c5527ad4145e3981
KO,1,2148736d701a5728fa45fbfcb953a86c
KO типа _бабочка_,1,0c93303d538895ccde1119fb2bdc6e83
KPNO,1,a11d61adc131c9229b55f26a0ebc922a
"TDC III, воздуховод",1,20f9ac1377860caf9224bcffd25c91e0
"TDC III, заглушка",1,b1d8991615c4ec44d1875e81ce45cb47
"TDC III, отвод",1,8a70ff2b2cf167bf0a088b7b0ecf348e
ДП4,1,851bbb07c7fb8389a97d8912dd382ba0
КП (КВ),1,05a15492b05120241c69d81f53fcb897
VC,1,ef2f12c96d0681a1f5d45a929a36e476
VCN,1,5c409b8c5e9113792d020881fa143552
NWPk,1,01c9adbea0e4956a7f9d28126b80b4dc
NWP,1,0842626a215e6a25eb4c83b125a5e5a7
NEK,1,be6f1dedda701c313b5fe65a40ec1255
NEP,1,6cc27476f19588c5783170f4dd97be87
OWP,1,9d243ab8dcd95cad1a13c8cc8f5a0f41
OFP,1,06657e1586e12e6df958b244b3c3a523
SUB,1,d02b1e0d385582d7a9988650e2d6647e
Воздуховод,1,7e2c7f119e1e5c48d7052a492df1df0a
Крестовина,1,877729ea8b2df4949b9f173ef166dad1
Отвод,1,cd37aa69939200256b5b6716bb22362c
Переход,1,79c1c374d82a11e4c46b9eafffbde9a1
Тройник,1,acb7bdc41f035930b071be6dc6f144d7
Заглушка,1,37e309a42d9a6166127c4efee053b539
Крестовина,1,efea2614a26a5dee52621563826198f3
Отвод,1,760a03237e117c839b86d2ce8f87f65e
Переход,1,ee0149ff386fc6546834692e05f6dc7e
Тройник,1,3d7b65dd603b14eb984865cf92bb8074
Трубопровод,1,978100b273aad8ca85ba3f1e2572317b
Воздуховод,1,a902a0a04a3b7e6be7ae13fc3a75d529
Воздуховод,1,3267b9ff172337acf7262b6d577b4c18
Заглушка,1,73bf9939851bb4793f5f5ee2f7d91176
Заглушка,1,6f40dfd25fe7139dd7a8b7d1e1708568
Крестовина,1,1b985a7d924672d122455ff032ebfb07
Крестовина,1,be4f4a98aac8b11683e3ca524748817b
Муфта,1,a2d38f30c45f407f9459bcac0bedcdee
Ниппель,1,84faf93a4eba884d65ccf7d8b16d184b
Отвод,1,ace01da0b1ef61e24f0b3a59158089bd
Отвод,1,447b5bc3d424cd6a6d510fbc25886001
Отвод,1,b841a431d7680ef0050729b69dffa849
Отвод,1,e5420939daf1687ce379cf407f8c3c11
Отвод,1,83045e88280180f8315b00748586f977
Отвод,1,a09c82b89ac7aeeb5683354edfd310e2
Отвод,1,5eefc3a0b450318967511623603d36b8
Переход,1,2a44a4c72ef3a18ae207b1ca77272211
Переход,1,c41219195f1575b75378aa02b0cd8424
Переход,1,5dfed25097dff1229f9481f36b24279d
Тройник,1,7980f3efab3014af570e9153b60dd3ba
Тройник,1,ac5a3de120be68f5c007bc395d934bc2
Воздуховод (4 параметра),1,b3fecc43137e617af4aa576ec4217dee
Вход в систему (Полная потеря давления),1,4332032987882bc7d8f8b6446de2295c
Универсальная (Потеря давления),1,a162b8ed992c2853b26f50cc0c2171c5
Универсальная (Наименование),1,9989f12e72f2083d0e9993554c1b487f
Универсальная (Свободный текст),1,8df81ddf1fa35eddfc4361a416ce53aa
KVR,1,80b25a11c886d0d54cd098704b7a134e
IRE,1,aec18f854211390e519c35c95bc8c53a
RSK,1,5f5f870b60426820cf090e8c7f64cb27
ОСА 300,1,d79cfb94b58df43870b01c8a3d984aac
ОСА 301,1,fa5ca97d9a0604db9fba8c2578785525
1ВПТР,1,e79338a004e9f2bde6eed32fbed26416
ВРАН,1,dd5ba058e66bc4e06e9883cf0bcaacde
Зонт,3,7179a4ecfcb29ab110bba687b5d88b65
Тройник,1,68ed8e0f2c1b72c5e186f9e6388446f6
Отвод,1,f956a87a69d7fe27299e34d6b80b87db
Воздуховод,1,d6a586469ec27826261adc5ab974a267
Переход,1,ec6115dee1cbcb52f74e7e014846afe1
Переход,1,7360173f5b2cff8e03e6e3cdf185a9ff
Заглушка,1,6ac622492909a14fe1ef51d9d59e89a1
Крестовина,1,1197af013018aca6733b9b7e25c234dc
Утка,1,3a997c454ee9f6677b9ed2835361b6ec
Клапан воздушный,2,8ea4ca2d518051522b5721c028c0deec
Тройник,1,689ea6b671e113595877f96820db574d
Отвод,1,e83be117d00f7ad6d6e759a69d263522
Крестовина,1,7a2daa04bad7b97d75a83bc2aa016057
Чиллер модульный,1,e805835f79ab0c20004fee239013904b
Драйкулер V-образный,1,0dcbe09a0bf3debac6e01b14026d511a
